r_def,cve_ent,con,upm,n_pro_viv,v_sel,n_hog,h_mud,n_ren,c_res,sex,eda,n_hij,e_con,ur,zona,pos_ocu,seg_soc,rama_est1,ambito2,tue1,pre_asa,niv_ins,anios_esc,hrsocup,ingocup,imssissste,emp_ppal,p6c,p6d
0,14,40082,1416804,133,4,1,0,1,1,2,31,0,1,1,2,1,1,2,6,1,1,4,17,32,20000,1,2, ,1
0,14,40092,1410896,223,5,1,0,2,1,1,59, ,5,1,2,1,1,2,6,1,1,3,9,48,14620,1,2, ,1
0,14,40096,1414111,37,1,1,0,4,1,1,21, ,6,1,2,1,1,3,4,1,1,4,12,54,10750,1,2, ,1
0,14,40106,1405517,81,4,1,0,7,1,2,51,4,3,1,2,1,2,2,3,3,1,2,6,48,8600,4,1, ,6
0,14,40112,1412633,67,4,1,0,5,1,1,55, ,6,1,2,1,1,2,5,1,1,2,6,45,8600,1,2, ,1
0,14,40125,1402591,22,4,1,0,1,1,1,58, ,5,1,2,1,1,2,0,1,1,4,16,45,21500,1,2, ,1
0,14,40143,1414511,171,4,1,0,6,1,1,21, ,1,1,2,1,2,2,2,3,2,3,9,36,4300,4,1, ,6
0,14,40145,1414237,35,5,1,0,1,1,1,58, ,5,1,2,1,2,2,2,3,2,2,6,44,8600,4,1, ,6
0,14,40150,1417141,114,2,1,0,1,1,1,37, ,2,1,2,3,2,2,2,3,0,3,9,48,7310,4,1, ,6
0,14,40150,1417141,88,5,1,0,1,1,1,43, ,5,1,2,1,2,2,2,3,2,3,9,48,6880,4,1, ,6
0,14,40150,1417141,88,5,1,0,3,1,2,17,0,6,1,2,1,2,3,3,1,2,3,9,48,4300,4,1, ,6
0,14,40151,1417614,70,4,1,0,1,1,2,50,6,3,1,2,1,2,3,8,3,1,3,9,12,14000,4,1, ,6
0,14,40152,1417825,31,2,1,0,2,1,2,34,2,1,1,2,1,2,3,8,3,2,4,12,18,5375,4,1, ,6
0,14,40157,1408779,38,2,2,0,1,1,1,36, ,5,1,2,1,2,2,3,1,2,3,10,46,21500,4,1, ,6
0,14,40161,1414038,25,1,1,0,1,1,1,41, ,1,1,2,2,2,3,2,3,0,2,6,36,30000,4,1, ,6
